"No.","Time","Time Diff","Source","Destination","Protocol","Length","Info"
"1","0.000000","0.000000","107.8.187.112","192.168.2.3","UDP","62","14715  >  80 Len=20"
"2","0.000143","0.000143","203.62.159.193","192.168.2.3","UDP","62","14438  >  80 Len=20"
"3","0.000218","0.000075","57.89.141.104","192.168.2.3","UDP","62","14439  >  80 Len=20"
"4","0.000283","0.000065","47.90.68.105","192.168.2.3","UDP","62","14440  >  80 Len=20"
"5","0.000349","0.000066","73.68.112.100","192.168.2.3","UDP","62","14441  >  80 Len=20"
"6","0.000503","0.000154","132.70.167.106","192.168.2.3","UDP","62","14442  >  80 Len=20"
"7","0.000574","0.000071","240.12.93.187","192.168.2.3","UDP","62","14443  >  80 Len=20"
"8","0.000784","0.000210","36.24.72.62","192.168.2.3","UDP","62","14444  >  80 Len=20"
"9","0.000852","0.000068","107.165.96.81","192.168.2.3","UDP","62","14445  >  80 Len=20"
"10","0.000986","0.000134","144.161.110.23","192.168.2.3","UDP","62","14446  >  80 Len=20"
"11","0.001043","0.000057","116.109.57.77","192.168.2.3","UDP","62","14447  >  80 Len=20"
"12","0.001236","0.000193","70.111.189.125","192.168.2.3","UDP","62","14448  >  80 Len=20"
"13","0.001302","0.000066","251.142.235.118","192.168.2.3","UDP","62","14449  >  80 Len=20"
"14","0.001409","0.000107","201.189.220.185","192.168.2.3","UDP","62","14450  >  80 Len=20"
"15","0.001575","0.000166","223.94.89.152","192.168.2.3","UDP","62","14451  >  80 Len=20"
"16","0.001642","0.000067","5.212.167.70","192.168.2.3","UDP","62","14452  >  80 Len=20"
"17","0.001852","0.000210","159.152.151.93","192.168.2.3","UDP","62","14453  >  80 Len=20"
"18","0.001921","0.000069","231.103.144.215","192.168.2.3","UDP","62","14454  >  80 Len=20"
"19","0.002016","0.000095","58.159.109.32","192.168.2.3","UDP","62","14455  >  80 Len=20"
"20","0.002119","0.000103","125.89.121.160","192.168.2.3","UDP","62","14456  >  80 Len=20"
"21","0.002271","0.000152","241.200.47.247","192.168.2.3","UDP","62","14457  >  80 Len=20"
"22","0.002365","0.000094","156.32.179.181","192.168.2.3","UDP","62","14458  >  80 Len=20"
"23","0.002482","0.000117","25.109.111.238","192.168.2.3","UDP","62","14459  >  80 Len=20"
"24","0.002603","0.000121","211.66.21.36","192.168.2.3","UDP","62","14460  >  80 Len=20"
"25","0.002722","0.000119","191.221.105.109","192.168.2.3","UDP","62","14461  >  80 Len=20"
"26","0.013569","0.010847","67.111.236.165","192.168.2.3","UDP","62","14462  >  80 Len=20"
"27","0.013668","0.000099","0.53.241.231","192.168.2.3","UDP","62","14463  >  80 Len=20"
"28","0.013691","0.000023","228.121.32.23","192.168.2.3","UDP","62","14464  >  80 Len=20"
"29","0.013717","0.000026","129.5.146.187","192.168.2.3","UDP","62","14465  >  80 Len=20"
"30","0.013771","0.000054","253.70.189.89","192.168.2.3","UDP","62","14466  >  80 Len=20"
"31","0.013963","0.000192","52.236.187.151","192.168.2.3","UDP","62","14467  >  80 Len=20"
"32","0.014030","0.000067","116.100.108.238","192.168.2.3","UDP","62","14468  >  80 Len=20"
"33","0.014165","0.000135","64.157.185.89","192.168.2.3","UDP","62","14469  >  80 Len=20"
"34","0.014286","0.000121","223.255.189.86","192.168.2.3","UDP","62","14470  >  80 Len=20"
"35","0.014407","0.000121","55.116.81.77","192.168.2.3","UDP","62","14471  >  80 Len=20"
"36","0.014533","0.000126","47.36.101.20","192.168.2.3","UDP","62","14472  >  80 Len=20"
"37","0.014584","0.000051","127.19.105.116","192.168.2.3","UDP","62","14473  >  80 Len=20"
"38","0.014818","0.000234","90.32.148.46","192.168.2.3","UDP","62","14474  >  80 Len=20"
"39","0.014888","0.000070","166.126.85.32","192.168.2.3","UDP","62","14475  >  80 Len=20"
"40","0.014990","0.000102","255.185.185.166","192.168.2.3","UDP","62","14476  >  80 Len=20"
"41","0.015108","0.000118","165.224.28.210","192.168.2.3","UDP","62","14477  >  80 Len=20"
"42","0.015242","0.000134","150.46.46.28","192.168.2.3","UDP","62","14478  >  80 Len=20"
"43","0.015308","0.000066","187.224.12.180","192.168.2.3","UDP","62","14479  >  80 Len=20"
"44","0.015488","0.000180","77.179.167.247","192.168.2.3","UDP","62","14480  >  80 Len=20"
"45","0.015553","0.000065","253.77.135.108","192.168.2.3","UDP","62","14481  >  80 Len=20"
"46","0.015731","0.000178","166.223.206.112","192.168.2.3","UDP","62","14482  >  80 Len=20"
"47","0.015804","0.000073","242.188.107.206","192.168.2.3","UDP","62","14483  >  80 Len=20"
"48","0.015907","0.000103","89.57.239.5","192.168.2.3","UDP","62","14484  >  80 Len=20"
"49","0.016029","0.000122","55.252.126.223","192.168.2.3","UDP","62","14485  >  80 Len=20"
"50","0.016182","0.000153","68.96.11.89","192.168.2.3","UDP","62","14486  >  80 Len=20"
"51","0.016250","0.000068","67.100.163.85","192.168.2.3","UDP","62","14487  >  80 Len=20"
"52","0.019884","0.003634","159.100.187.127","192.168.2.3","UDP","62","14488  >  80 Len=20"
"53","0.019946","0.000062","11.186.47.253","192.168.2.3","UDP","62","14489  >  80 Len=20"
"54","0.019984","0.000038","111.21.207.73","192.168.2.3","UDP","62","14490  >  80 Len=20"
"55","0.020024","0.000040","206.103.124.98","192.168.2.3","UDP","62","14491  >  80 Len=20"
"56","0.020220","0.000196","100.241.189.180","192.168.2.3","UDP","62","14492  >  80 Len=20"
"57","0.020318","0.000098","191.127.124.92","192.168.2.3","UDP","62","14493  >  80 Len=20"
"58","0.020390","0.000072","228.247.123.185","192.168.2.3","UDP","62","14494  >  80 Len=20"
"59","0.020564","0.000174","207.202.14.19","192.168.2.3","UDP","62","14495  >  80 Len=20"
"60","0.020667","0.000103","0.235.0.93","192.168.2.3","UDP","62","14496  >  80 Len=20"
"61","0.020707","0.000040","111.252.101.67","192.168.2.3","UDP","62","14497  >  80 Len=20"
"62","0.020897","0.000190","0.189.183.249","192.168.2.3","UDP","62","14498  >  80 Len=20"
"63","0.020942","0.000045","121.73.67.19","192.168.2.3","UDP","62","14499  >  80 Len=20"
"64","0.021201","0.000259","240.96.12.107","192.168.2.3","UDP","62","14500  >  80 Len=20"
"65","0.021248","0.000047","55.185.185.67","192.168.2.3","UDP","62","14501  >  80 Len=20"
"66","0.021342","0.000094","142.150.144.19","192.168.2.3","UDP","62","14502  >  80 Len=20"
"67","0.021407","0.000065","197.231.70.109","192.168.2.3","UDP","62","14503  >  80 Len=20"
"68","0.021589","0.000182","165.67.137.239","192.168.2.3","UDP","62","14504  >  80 Len=20"
"69","0.021661","0.000072","57.0.197.197","192.168.2.3","UDP","62","14505  >  80 Len=20"
"70","0.022105","0.000444","185.171.189.229","192.168.2.3","UDP","62","14506  >  80 Len=20"
"71","0.022183","0.000078","165.68.62.42","192.168.2.3","UDP","62","14507  >  80 Len=20"
"72","0.022237","0.000054","36.73.130.188","192.168.2.3","UDP","62","14508  >  80 Len=20"
"73","0.022444","0.000207","62.137.148.151","192.168.2.3","UDP","62","14509  >  80 Len=20"
"74","0.022510","0.000066","85.112.251.19","192.168.2.3","UDP","62","14510  >  80 Len=20"
"75","0.022617","0.000107","110.28.32.171","192.168.2.3","UDP","62","14511  >  80 Len=20"
"76","0.027130","0.004513","208.6.157.78","192.168.2.3","UDP","62","14512  >  80 Len=20"
"77","0.030206","0.003076","111.42.187.201","192.168.2.3","UDP","62","14513  >  80 Len=20"
"78","0.030532","0.000326","85.21.187.215","192.168.2.3","UDP","62","14514  >  80 Len=20"
"79","0.030598","0.000066","137.101.163.62","192.168.2.3","UDP","62","14515  >  80 Len=20"
"80","0.030645","0.000047","72.135.67.105","192.168.2.3","UDP","62","14516  >  80 Len=20"
"81","0.031914","0.001269","157.67.51.12","192.168.2.3","UDP","62","14517  >  80 Len=20"
"82","0.031986","0.000072","58.236.2.167","192.168.2.3","UDP","62","14518  >  80 Len=20"
"83","0.032037","0.000051","112.162.93.247","192.168.2.3","UDP","62","14519  >  80 Len=20"
